feature,importance
poutcome_success,0.09934442101498857
age,0.08052710214019963
balance,0.07807211426394706
contact_unknown,0.07003688861100092
pdays,0.06507967747846999
day,0.060616738130427665
housing_no,0.04463332048645408
contact_cellular,0.04408668648013832
housing_yes,0.038730886717585865
campaign,0.0380134729159668
previous,0.03380108432127217
poutcome_unknown,0.032906826231075076
month_oct,0.02089325819843743
month_jun,0.018774994144320264
month_apr,0.018090690434854506
month_may,0.017993204183116146
month_mar,0.017683490191727227
month_aug,0.016699747028449344
marital_married,0.014977019698496415
poutcome_failure,0.013462586118203567
marital_single,0.012960417226768533
loan_no,0.012267798899069406
loan_yes,0.011201486432094248
month_jul,0.010592591561235083
job_blue-collar,0.009789535966559553
month_nov,0.009682631201389388
month_sep,0.008685814398747178
education_tertiary,0.007924179151094304
month_jan,0.007125881654876289
contact_telephone,0.006817011466224483
education_secondary,0.006647878484790013
job_retired,0.006352708557717104
education_primary,0.0060872991498369874
job_technician,0.005989628681265577
marital_divorced,0.0057902717735131256
month_feb,0.005299539213756048
job_management,0.004887597768634155
job_admin.,0.004771703891274136
poutcome_other,0.004672060246515876
job_student,0.004471212595080697
job_services,0.004074844844380792
education_unknown,0.0031295871624528403
job_self-employed,0.0030787016821965706
job_entrepreneur,0.002706789028737854
month_dec,0.002329413727160808
job_unemployed,0.002179209237056324
job_housemaid,0.0020804440952053513
default_no,0.0017480531140263492
default_yes,0.001583087268896852
job_unknown,0.0006484127303130451
